depth,shadow_length,model_id,reference_datetime
4,4,ler,2021-03-29 00:00:00
5,4,ler,2021-03-29 00:00:00
6,4,ler,2021-03-29 00:00:00
7,3,ler,2021-03-29 00:00:00
8,6,ler,2021-03-29 00:00:00
9,3,ler,2021-03-29 00:00:00
0,2,GLM,2021-04-05 00:00:00
1,2,GLM,2021-04-05 00:00:00
1.5,2,GLM,2021-04-05 00:00:00
2,5,GLM,2021-04-05 00:00:00
3,4,GLM,2021-04-05 00:00:00
4,4,GLM,2021-04-05 00:00:00
5,5,GLM,2021-04-05 00:00:00
6,6,GLM,2021-04-05 00:00:00
7,7,GLM,2021-04-05 00:00:00
8,4,GLM,2021-04-05 00:00:00
9,3,GLM,2021-04-05 00:00:00
0,3,GOTM,2021-04-05 00:00:00
1,1,GOTM,2021-04-05 00:00:00
1.5,2,GOTM,2021-04-05 00:00:00
2,4,GOTM,2021-04-05 00:00:00
3,6,GOTM,2021-04-05 00:00:00
4,6,GOTM,2021-04-05 00:00:00
5,5,GOTM,2021-04-05 00:00:00
6,7,GOTM,2021-04-05 00:00:00
7,4,GOTM,2021-04-05 00:00:00
8,6,GOTM,2021-04-05 00:00:00
9,5,GOTM,2021-04-05 00:00:00
0,2,RW,2021-04-05 00:00:00
1,3,RW,2021-04-05 00:00:00
1.5,4,RW,2021-04-05 00:00:00
2,5,RW,2021-04-05 00:00:00
3,6,RW,2021-04-05 00:00:00
4,13,RW,2021-04-05 00:00:00
5,14,RW,2021-04-05 00:00:00
6,14,RW,2021-04-05 00:00:00
7,14,RW,2021-04-05 00:00:00
8,14,RW,2021-04-05 00:00:00
9,14,RW,2021-04-05 00:00:00
0,3,Simstrat,2021-04-05 00:00:00
1,1,Simstrat,2021-04-05 00:00:00
1.5,1,Simstrat,2021-04-05 00:00:00
2,1,Simstrat,2021-04-05 00:00:00
3,3,Simstrat,2021-04-05 00:00:00
4,5,Simstrat,2021-04-05 00:00:00
5,6,Simstrat,2021-04-05 00:00:00
6,6,Simstrat,2021-04-05 00:00:00
7,4,Simstrat,2021-04-05 00:00:00
8,2,Simstrat,2021-04-05 00:00:00
9,2,Simstrat,2021-04-05 00:00:00
0,2,climatology,2021-04-05 00:00:00
1,2,climatology,2021-04-05 00:00:00
1.5,1,climatology,2021-04-05 00:00:00
2,3,climatology,2021-04-05 00:00:00
3,3,climatology,2021-04-05 00:00:00
4,3,climatology,2021-04-05 00:00:00
5,4,climatology,2021-04-05 00:00:00
6,4,climatology,2021-04-05 00:00:00
7,5,climatology,2021-04-05 00:00:00
8,6,climatology,2021-04-05 00:00:00
9,5,climatology,2021-04-05 00:00:00
0,2,empirical,2021-04-05 00:00:00
1,2,empirical,2021-04-05 00:00:00
1.5,4,empirical,2021-04-05 00:00:00
2,5,empirical,2021-04-05 00:00:00
3,6,empirical,2021-04-05 00:00:00
4,9,empirical,2021-04-05 00:00:00
5,14,empirical,2021-04-05 00:00:00
6,14,empirical,2021-04-05 00:00:00
7,14,empirical,2021-04-05 00:00:00
8,14,empirical,2021-04-05 00:00:00
9,14,empirical,2021-04-05 00:00:00
0,2,empirical_ler,2021-04-05 00:00:00
1,2,empirical_ler,2021-04-05 00:00:00
1.5,4,empirical_ler,2021-04-05 00:00:00
2,5,empirical_ler,2021-04-05 00:00:00
3,3,empirical_ler,2021-04-05 00:00:00
4,7,empirical_ler,2021-04-05 00:00:00
5,13,empirical_ler,2021-04-05 00:00:00
6,14,empirical_ler,2021-04-05 00:00:00
7,14,empirical_ler,2021-04-05 00:00:00
8,14,empirical_ler,2021-04-05 00:00:00
9,14,empirical_ler,2021-04-05 00:00:00
0,3,ler,2021-04-05 00:00:00
1,2,ler,2021-04-05 00:00:00
1.5,2,ler,2021-04-05 00:00:00
2,3,ler,2021-04-05 00:00:00
